X.chr	start	end	startCpG	endCpG	target	region	lenCpG	bp	tg_mean	bg_mean	delta_means	delta_quants	delta_maxmin	ttest	direction
chr1	185606	185761	2174	2180	Gallbladder_epithelium	chr1:185606-185761	6CpGs	155bp	0.0698	0.917	0.847	0.733	0.597	2.46e-260	U
chr1	594275	594311	5162	5166	Dermal_Fibroblasts	chr1:594275-594311	4CpGs	36bp	0.261	0.858	0.597	0.374	0.0641	3.66e-159	U
chr1	1003660	1003750	13886	13894	Epidermal_Keratinocytes	chr1:1003660-1003750	8CpGs	90bp	0.168	0.913	0.745	0.541	0.322	5.42e-212	U
chr1	1108079	1108486	18198	18213	Blood_NK_cells	chr1:1108079-1108486	15CpGs	407bp	0.324	0.932	0.608	0.387	0.109	5.61e-38	U
chr1	1160056	1160110	20268	20274	Colon_Epithelium	chr1:1160056-1160110	6CpGs	54bp	0.0399	0.918	0.879	0.603	-0.039	9.36e-47	U
chr1	1160250	1160367	20282	20288	Colon_Epithelium	chr1:1160250-1160367	6CpGs	117bp	0.0505	0.905	0.854	0.646	0.201	2.25e-70	U
chr1	1179392	1179548	21119	21130	Blood_B_cells	chr1:1179392-1179548	11CpGs	156bp	0.0721	0.895	0.823	0.603	0.181	2.46e-54	U
chr1	1196563	1196639	21572	21576	Ovary_Endometrial_Epithelium	chr1:1196563-1196639	4CpGs	76bp	0.135	0.862	0.726	0.489	-0.156	4.7e-26	U
chr1	1259147	1259187	24469	24473	Head_Neck_Epithelium	chr1:1259147-1259187	4CpGs	40bp	0.165	0.923	0.759	0.636	-0.538	1.31e-79	U
chr1	1259223	1259360	24473	24484	Epidermal_Keratinocytes	chr1:1259223-1259360	11CpGs	137bp	0.204	0.919	0.715	0.511	0.283	2.32e-207	U
chr1	1262136	1262432	24569	24584	Erythrocyte_progenitors	chr1:1262136-1262432	15CpGs	296bp	0.0748	0.935	0.861	0.774	0.667	3.03e-112	U
chr1	1487089	1487124	33653	33657	Liver_Hepatocytes	chr1:1487089-1487124	4CpGs	35bp	0.206	0.941	0.734	0.663	-0.0765	1.65e-76	U
chr1	1556170	1556571	36445	36459	Thyroid_Epithelium	chr1:1556170-1556571	14CpGs	401bp	0.116	0.922	0.807	0.722	0.642	3.78e-100	U
chr1	1556675	1556995	36460	36466	Thyroid_Epithelium	chr1:1556675-1556995	6CpGs	320bp	0.0283	0.915	0.886	0.62	0.489	1.09e-56	U
chr1	1564505	1564763	36661	36677	Heart_Cardiomyocytes	chr1:1564505-1564763	16CpGs	258bp	0.122	0.916	0.794	0.65	0.453	2.22e-94	U
chr1	1611796	1611871	38249	38256	Lung_Alveolar_Epithelium	chr1:1611796-1611871	7CpGs	75bp	0.056	0.872	0.816	0.542	0.335	2.51e-37	U
chr1	1785845	1786384	44931	44943	Thyroid_Epithelium	chr1:1785845-1786384	12CpGs	539bp	0.245	0.949	0.704	0.654	0.62	2.79e-132	U
chr1	1880396	1880674	46594	46609	Small_intestine_Epithelium	chr1:1880396-1880674	15CpGs	278bp	0.177	0.901	0.724	0.524	0.0587	3.49e-54	U
chr1	1902492	1902581	47309	47314	Blood_B_cells	chr1:1902492-1902581	5CpGs	89bp	0.208	0.932	0.724	0.623	0.473	4.6e-109	U
chr1	1917488	1918235	47805	47825	Pancreas_Acinar_cells	chr1:1917488-1918235	20CpGs	747bp	0.0599	0.911	0.852	0.722	0.416	8.09e-77	U
chr1	1972445	1972461	49622	49625	Lung_Alveolar_Epithelium	chr1:1972445-1972461	3CpGs	16bp	0.132	0.927	0.795	0.649	0.441	2.11e-71	U
chr1	2061614	2061731	52806	52812	Lung_Alveolar_Epithelium	chr1:2061614-2061731	6CpGs	117bp	0.0949	0.892	0.797	0.577	0.446	1.81e-58	U
chr1	2075420	2075853	53244	53260	Neurons	chr1:2075420-2075853	16CpGs	433bp	0.0924	0.885	0.793	0.578	-0.284	1.07e-49	U
chr1	2075871	2076118	53260	53270	Neurons	chr1:2075871-2076118	10CpGs	247bp	0.276	0.925	0.648	0.415	-0.0481	7.02e-71	U
chr1	2260286	2260431	59736	59741	Neurons	chr1:2260286-2260431	5CpGs	145bp	0.337	0.92	0.583	0.382	0.0147	1.42e-69	U
chr1	2306895	2307408	61385	61414	Neurons	chr1:2306895-2307408	29CpGs	513bp	0.284	0.939	0.656	0.523	-0.176	5.61e-94	U
chr1	2359861	2359963	63413	63418	Monocytes_Macrophages	chr1:2359861-2359963	5CpGs	102bp	0.24	0.914	0.673	0.434	-0.116	2.25e-69	U
chr1	2374539	2374685	63653	63657	Blood_B_cells	chr1:2374539-2374685	4CpGs	146bp	0.0954	0.901	0.806	0.628	0.391	2.74e-66	U
chr1	2384160	2384745	63940	63960	Neurons	chr1:2384160-2384745	20CpGs	585bp	0.284	0.918	0.635	0.484	0.0955	4.76e-98	U
chr1	2385388	2385517	64000	64008	Neurons	chr1:2385388-2385517	8CpGs	129bp	0.273	0.863	0.591	0.322	-0.244	1.24e-45	U
chr1	2590960	2591408	70923	70939	Epidermal_Keratinocytes	chr1:2590960-2591408	16CpGs	448bp	0.345	0.926	0.581	0.49	0.407	4.26e-255	U
chr1	3033107	3033229	80471	80478	Blood_T_cells	chr1:3033107-3033229	7CpGs	122bp	0.268	0.882	0.614	0.388	0.0905	4.61e-98	U
chr1	3292955	3292984	88505	88509	Small_intestine_Epithelium	chr1:3292955-3292984	4CpGs	29bp	0.0848	0.901	0.816	0.569	0.0748	4.95e-39	U
chr1	3293923	3293981	88545	88549	Small_intestine_Epithelium	chr1:3293923-3293981	4CpGs	58bp	0.125	0.859	0.734	0.494	0.307	2.55e-40	U
chr1	3353404	3353851	90020	90032	Kidney_Epithelium	chr1:3353404-3353851	12CpGs	447bp	0.35	0.901	0.551	0.378	0.0408	6.45e-61	U
chr1	3361734	3362039	90288	90299	Blood_NK_cells	chr1:3361734-3362039	11CpGs	305bp	0.122	0.891	0.769	0.517	0.329	5.07e-40	U
chr1	3486091	3486275	94068	94073	Ovary_Endometrial_Epithelium	chr1:3486091-3486275	5CpGs	184bp	0.231	0.867	0.636	0.375	-0.287	2.76e-22	U
chr1	3517629	3517764	95012	95015	Skeletal-Muscle	chr1:3517629-3517764	3CpGs	135bp	0.3	0.839	0.539	0.275	0.0889	4.34e-14	U
chr1	3647132	3647310	99036	99043	Blood_Granulocytes	chr1:3647132-3647310	7CpGs	178bp	0.122	0.877	0.755	0.602	0.542	1.76e-56	U
chr1	3779447	3779770	102884	102899	Neurons	chr1:3779447-3779770	15CpGs	323bp	0.338	0.911	0.573	0.401	-0.00363	9.26e-77	U
chr1	3993432	3993453	107609	107612	Bone_Osteoblasts	chr1:3993432-3993453	3CpGs	21bp	0.0175	0.915	0.897	0.729	0.553	8.68e-231	U
chr1	4057941	4057992	108639	108643	Dermal_Fibroblasts	chr1:4057941-4057992	4CpGs	51bp	0.326	0.886	0.56	0.359	0.0786	4.45e-177	U
chr1	4733980	4734089	118327	118338	Neurons	chr1:4733980-4734089	11CpGs	109bp	0.319	0.864	0.545	0.327	-0.879	5.11e-28	U
chr1	4734945	4735064	118357	118367	Neurons	chr1:4734945-4735064	10CpGs	119bp	0.275	0.866	0.591	0.401	-0.313	1.06e-48	U
chr1	5322671	5323052	124448	124454	Prostate_Epithelium	chr1:5322671-5323052	6CpGs	381bp	0.313	0.865	0.552	0.249	-0.0382	8.62e-24	U
chr1	5842759	5842903	131327	131335	Kidney_Epithelium	chr1:5842759-5842903	8CpGs	144bp	0.149	0.843	0.694	0.468	0.219	4.76e-62	U
chr1	5880355	5880633	132288	132302	Pancreas_Alpha_cells	chr1:5880355-5880633	14CpGs	278bp	0.195	0.94	0.745	0.551	-0.0424	1.47e-40	U
chr1	5883913	5884172	132415	132421	Pancreas_Alpha_cells	chr1:5883913-5884172	6CpGs	259bp	0.294	0.916	0.622	0.398	0.213	6.06e-43	U
chr1	5917369	5917780	133180	133185	Pancreas_Delta_cells	chr1:5917369-5917780	5CpGs	411bp	0.368	0.875	0.507	0.365	0.221	1.13e-28	U
chr1	5921198	5921336	133240	133244	Pancreas_Acinar_cells	chr1:5921198-5921336	4CpGs	138bp	0.0557	0.936	0.881	0.738	0.568	2.21e-91	U
chr1	5922681	5922862	133260	133271	Pancreas_Acinar_cells	chr1:5922681-5922862	11CpGs	181bp	0.101	0.939	0.838	0.68	0.51	2.34e-80	U
chr1	5950648	5950918	133709	133715	Epidermal_Keratinocytes	chr1:5950648-5950918	6CpGs	270bp	0.151	0.903	0.752	0.525	0.472	1.16e-214	U
chr1	5959258	5959335	133878	133884	Pancreas_Delta_cells	chr1:5959258-5959335	6CpGs	77bp	0.111	0.925	0.813	0.619	0.334	1.05e-53	U
chr1	6040917	6041038	135714	135722	Blood_Granulocytes	chr1:6040917-6041038	8CpGs	121bp	0.135	0.875	0.74	0.555	0.455	6.01e-41	U
chr1	6056291	6056341	136050	136056	Monocytes_Macrophages	chr1:6056291-6056341	6CpGs	50bp	0.189	0.892	0.703	0.43	0.0499	7.04e-69	U
chr1	6073676	6074121	136460	136478	Breast_Basal_Epithelium	chr1:6073676-6074121	18CpGs	445bp	0.163	0.883	0.719	0.537	0.149	1.54e-38	U
chr1	6233281	6233371	140563	140568	Heart_Cardiomyocytes	chr1:6233281-6233371	5CpGs	90bp	0.174	0.935	0.761	0.694	0.326	5.79e-110	U
chr1	6282664	6283095	142415	142427	Small_intestine_Epithelium	chr1:6282664-6283095	12CpGs	431bp	0.146	0.927	0.782	0.543	0.198	1.04e-59	U
chr1	6356644	6356694	144168	144172	Liver_Hepatocytes	chr1:6356644-6356694	4CpGs	50bp	0.0682	0.941	0.873	0.765	0.356	1.85e-103	U
chr1	6435355	6435571	146154	146164	Fallopian_Epithelium	chr1:6435355-6435571	10CpGs	216bp	0.0394	0.893	0.854	0.563	0.0417	9.82e-37	U
chr1	6495628	6495677	148253	148256	Neurons	chr1:6495628-6495677	3CpGs	49bp	0.326	0.901	0.575	0.337	-0.49	1.84e-46	U
chr1	6495824	6495875	148258	148261	Neurons	chr1:6495824-6495875	3CpGs	51bp	0.241	0.895	0.654	0.393	-0.342	6.79e-47	U
chr1	6510053	6510084	148716	148720	Breast_Basal_Epithelium	chr1:6510053-6510084	4CpGs	31bp	0.177	0.887	0.71	0.521	0.289	9.79e-50	U
chr1	6578496	6578783	150157	150163	Breast_Basal_Epithelium	chr1:6578496-6578783	6CpGs	287bp	0.152	0.907	0.755	0.533	0.187	6.9e-53	U
chr1	6591948	6592014	150480	150484	Skeletal-Muscle	chr1:6591948-6592014	4CpGs	66bp	0.359	0.911	0.552	0.416	0.276	1.94e-35	U
chr1	6654276	6654305	152483	152486	Kidney_Epithelium	chr1:6654276-6654305	3CpGs	29bp	0.139	0.933	0.794	0.653	-0.301	2.72e-51	U
chr1	6657201	6657362	152520	152525	Heart_Cardiomyocytes	chr1:6657201-6657362	5CpGs	161bp	0.0645	0.888	0.823	0.647	0.347	1.89e-67	U
chr1	6690224	6690590	153002	153009	Kidney_Epithelium	chr1:6690224-6690590	7CpGs	366bp	0.192	0.911	0.72	0.531	0.195	1.35e-79	U
chr1	6896031	6896598	156149	156158	Pancreas_Alpha_cells	chr1:6896031-6896598	9CpGs	567bp	0.339	0.935	0.597	0.344	0.238	3.63e-47	U
chr1	6917658	6917846	156432	156437	Prostate_Epithelium	chr1:6917658-6917846	5CpGs	188bp	0.283	0.89	0.607	0.331	0.0261	1.54e-26	U
chr1	7150728	7150873	160129	160138	Fallopian_Epithelium	chr1:7150728-7150873	9CpGs	145bp	0.104	0.868	0.764	0.542	-0.0662	8.33e-26	U
chr1	7228666	7228686	161077	161081	Breast_Luminal_Epithelium	chr1:7228666-7228686	4CpGs	20bp	0.356	0.888	0.533	0.284	0.101	2.92e-22	U
chr1	7559518	7559565	166028	166033	Pancreas_Duct_cells	chr1:7559518-7559565	5CpGs	47bp	0.235	0.858	0.623	0.32	-0.196	1.08e-18	U
chr1	7679547	7679787	168218	168225	Small_intestine_Epithelium	chr1:7679547-7679787	7CpGs	240bp	0.151	0.9	0.749	0.509	0.38	7.41e-61	U
chr1	7689159	7689472	168508	168513	Small_intestine_Epithelium	chr1:7689159-7689472	5CpGs	313bp	0.147	0.868	0.721	0.458	0.206	2.99e-42	U
chr1	7774725	7774818	170090	170094	Blood_Granulocytes	chr1:7774725-7774818	4CpGs	93bp	0.154	0.922	0.769	0.537	0.329	8.59e-39	U
chr1	7824764	7824992	170866	170874	Thyroid_Epithelium	chr1:7824764-7824992	8CpGs	228bp	0.0756	0.921	0.846	0.709	0.0759	7.03e-42	U
chr1	7864591	7864683	171440	171443	Small_intestine_Epithelium	chr1:7864591-7864683	3CpGs	92bp	0.137	0.889	0.753	0.485	0.132	1.52e-43	U
chr1	7982241	7982283	173362	173365	Gallbladder_epithelium	chr1:7982241-7982283	3CpGs	42bp	0.132	0.898	0.766	0.655	0.596	4.87e-240	U
chr1	7983241	7983792	173379	173393	Breast_Luminal_Epithelium	chr1:7983241-7983792	14CpGs	551bp	0.346	0.924	0.577	0.376	-0.063	1.25e-24	U
chr1	7991117	7991683	173499	173512	Lung_Bronchial_Epithelium	chr1:7991117-7991683	13CpGs	566bp	0.109	0.942	0.833	0.686	0.536	8.16e-84	U
chr1	8031719	8031765	174213	174217	Lung_Alveolar_Epithelium	chr1:8031719-8031765	4CpGs	46bp	0.187	0.92	0.733	0.56	0.454	4.53e-71	U
chr1	8135394	8135987	175630	175638	Thyroid_Epithelium	chr1:8135394-8135987	8CpGs	593bp	0.079	0.917	0.838	0.653	0.411	1.25e-53	U
chr1	8152907	8153123	175931	175939	Blood_T_cells	chr1:8152907-8153123	8CpGs	216bp	0.118	0.943	0.826	0.577	0.153	2.44e-117	U
chr1	8220436	8220511	177175	177179	Breast_Basal_Epithelium	chr1:8220436-8220511	4CpGs	75bp	0.107	0.868	0.761	0.54	0.331	1.74e-37	U
chr1	8467705	8467940	181583	181598	Liver_Hepatocytes	chr1:8467705-8467940	15CpGs	235bp	0.183	0.945	0.762	0.726	0.108	1.23e-92	U
chr1	8481148	8481186	181743	181747	Kidney_Epithelium	chr1:8481148-8481186	4CpGs	38bp	0.216	0.942	0.727	0.443	-0.108	3.65e-63	U
chr1	8490631	8490770	181861	181865	Lung_Alveolar_Epithelium	chr1:8490631-8490770	4CpGs	139bp	0.105	0.916	0.811	0.623	0.00833	6.99e-42	U
chr1	8646456	8646532	183498	183501	Lung_Alveolar_Epithelium	chr1:8646456-8646532	3CpGs	76bp	0.128	0.937	0.809	0.634	0.3	8.28e-66	U
chr1	8747899	8748074	184672	184678	Colon_Epithelium	chr1:8747899-8748074	6CpGs	175bp	0.101	0.909	0.808	0.584	0.0457	4.95e-59	U
chr1	8868557	8868632	186377	186380	Pancreas_Beta_cells	chr1:8868557-8868632	3CpGs	75bp	0.19	0.919	0.729	0.538	0.175	4.93e-47	U
chr1	8881257	8881380	186735	186742	Lung_Alveolar_Epithelium	chr1:8881257-8881380	7CpGs	123bp	0.127	0.929	0.802	0.61	0.259	1.04e-65	U
chr1	8947784	8947922	187818	187825	Breast_Basal_Epithelium	chr1:8947784-8947922	7CpGs	138bp	0.0526	0.897	0.844	0.539	0.208	2.82e-39	U
chr1	9048948	9049574	189640	189654	Colon_Epithelium	chr1:9048948-9049574	14CpGs	626bp	0.0794	0.908	0.828	0.597	0.32	1.04e-78	U
chr1	9171867	9172002	191815	191818	Gallbladder_epithelium	chr1:9171867-9172002	3CpGs	135bp	0.02	0.908	0.888	0.68	0.438	2.04e-222	U
chr1	9313827	9314131	194948	194958	Thyroid_Epithelium	chr1:9313827-9314131	10CpGs	304bp	0.0856	0.929	0.843	0.729	0.505	4.25e-85	U
chr1	9554214	9554463	199896	199905	Liver_Hepatocytes	chr1:9554214-9554463	9CpGs	249bp	0.0595	0.943	0.884	0.807	0.666	3.71e-156	U
chr1	9606420	9606591	201102	201112	Breast_Basal_Epithelium	chr1:9606420-9606591	10CpGs	171bp	0.161	0.941	0.78	0.643	0.275	1.13e-73	U
chr1	9700366	9700406	203220	203223	Heart_Fibroblasts	chr1:9700366-9700406	3CpGs	40bp	0.146	0.911	0.765	0.46	-0.215	7.34e-24	U
chr1	9717027	9717162	203527	203535	Blood_T_cells	chr1:9717027-9717162	8CpGs	135bp	0.0887	0.903	0.814	0.499	-0.157	3e-76	U
chr1	9780363	9780548	204997	205001	Neurons	chr1:9780363-9780548	4CpGs	185bp	0.234	0.893	0.659	0.417	-0.246	6.04e-58	U
chr1	9840860	9840901	206246	206250	Head_Neck_Epithelium	chr1:9840860-9840901	4CpGs	41bp	0.235	0.933	0.698	0.505	-0.464	1.3e-49	U
chr1	9852155	9852376	206455	206461	Neurons	chr1:9852155-9852376	6CpGs	221bp	0.174	0.885	0.71	0.44	-0.0486	1.52e-56	U
chr1	9852764	9853567	206468	206477	Neurons	chr1:9852764-9853567	9CpGs	803bp	0.302	0.912	0.61	0.342	-0.2	2.7e-56	U
chr1	9931859	9932100	207903	207907	Small_intestine_Epithelium	chr1:9931859-9932100	4CpGs	241bp	0.257	0.901	0.644	0.465	0.0507	6.4e-49	U
chr1	9999605	9999887	209172	209178	Lung_Alveolar_Epithelium	chr1:9999605-9999887	6CpGs	282bp	0.0901	0.91	0.82	0.635	0.477	5.39e-69	U
chr1	10014471	10014677	209415	209422	Thyroid_Epithelium	chr1:10014471-10014677	7CpGs	206bp	0.152	0.908	0.756	0.618	0.441	7.04e-64	U
chr1	10073423	10073704	210457	210463	Head_Neck_Epithelium	chr1:10073423-10073704	6CpGs	281bp	0.137	0.907	0.771	0.566	-0.446	3.77e-67	U
chr1	10127727	10128389	211178	211182	Oligodendrocytes	chr1:10127727-10128389	4CpGs	662bp	0.113	0.918	0.805	0.642	0.435	2.38e-75	U
chr1	10133122	10133371	211262	211269	Oligodendrocytes	chr1:10133122-10133371	7CpGs	249bp	0.0665	0.933	0.866	0.666	0.4	1.45e-70	U
chr1	10151292	10151631	211527	211532	Blood_Granulocytes	chr1:10151292-10151631	5CpGs	339bp	0.0402	0.911	0.871	0.645	0.411	1.73e-50	U
chr1	10181001	10181537	212063	212071	Dermal_Fibroblasts	chr1:10181001-10181537	8CpGs	536bp	0.328	0.883	0.555	0.329	0.138	4.28e-171	U
chr1	10208636	10208763	212530	212537	Monocytes_Macrophages	chr1:10208636-10208763	7CpGs	127bp	0.132	0.898	0.766	0.479	-0.326	4.62e-49	U
chr1	10250218	10250496	213250	213257	Blood_Granulocytes	chr1:10250218-10250496	7CpGs	278bp	0.246	0.937	0.691	0.578	0.376	1.16e-69	U
chr1	10361609	10361826	214491	214500	Heart_Cardiomyocytes	chr1:10361609-10361826	9CpGs	217bp	0.113	0.946	0.834	0.713	0.373	1.28e-113	U
